species_Adelie,bill_length_mm,flipper_length_mm
0,47.3,216.0
0,46.8,215.0
0,41.7,210.0
0,53.4,219.0
0,43.3,208.0
0,48.1,209.0
0,50.5,216.0
0,49.8,229.0
0,43.5,213.0
0,51.5,230.0
0,46.2,217.0
0,55.1,230.0
0,44.5,217.0
0,48.8,222.0
0,47.2,214.0
0,46.8,215.0
0,50.4,222.0
0,45.2,212.0
0,49.9,213.0
0,46.5,192.0
0,50.0,196.0
0,51.3,193.0
0,45.4,188.0
0,52.7,197.0
0,45.2,198.0
0,46.1,178.0
0,51.3,197.0
0,46.0,195.0
0,51.3,198.0
0,46.6,193.0
0,51.7,194.0
0,47.0,185.0
0,52.0,201.0
0,45.9,190.0
0,50.5,201.0
0,50.3,197.0
0,58.0,181.0
0,46.4,190.0
0,49.2,195.0
0,42.4,181.0
0,48.5,191.0
0,43.2,187.0
0,50.6,193.0
0,46.7,195.0
0,52.0,197.0
0,50.5,200.0
0,49.5,200.0
0,46.4,191.0
0,52.8,205.0
0,40.9,187.0
0,54.2,201.0
0,42.5,187.0
0,51.0,203.0
0,49.7,195.0
0,47.5,199.0
0,47.6,195.0
0,52.0,210.0
0,46.9,192.0
0,53.5,205.0
0,49.0,210.0
0,46.2,187.0
0,50.9,196.0
0,45.5,196.0
0,50.9,196.0
0,50.8,201.0
0,50.1,190.0
0,49.0,212.0
0,51.5,187.0
0,49.8,198.0
0,48.1,199.0
0,51.4,201.0
0,45.7,193.0
0,50.7,203.0
0,42.5,187.0
0,52.2,197.0
0,45.2,191.0
0,49.3,203.0
0,50.2,202.0
0,45.6,194.0
0,51.9,206.0
0,46.8,189.0
0,45.7,195.0
0,55.8,207.0
0,43.5,202.0
0,49.6,193.0
0,50.8,210.0
0,50.2,198.0
